kind	source_path	analysis_set	effect	family	name	mean	stat	p	q	is_down_minus_passive	is_sensory_roi	is_pain_signature	negative
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_S1_R	0.0046595752624293	0.5510252925939579	0.5865075988808381	0.7168426208543577	True	True	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_S2_operculum_L	-0.0251424858668962	-2.7660891127115663	0.0105119977507355	0.0289079938145227	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_S2_operculum_R	-0.0361392096293946	-3.893173358254851	0.0006515246779238	0.0045863950376863	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_dACC_MCC	-0.0017566674863561	-0.2439202379262972	0.8092832227831717	0.8902115450614888	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_insula_all_L	-0.0269629571210736	-3.796536878747057	0.000833890006852	0.0045863950376863	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_insula_all_R	-0.0247267807672659	-1.9473652872341949	0.0628064804363732	0.115145214133351	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_posterior_insula_L	-0.0266024793202702	-3.1515445091858973	0.0041834008591011	0.0153391364833709	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_posterior_insula_R	-0.0285053277419557	-2.127151733350744	0.0434535399762016	0.0955977879476436	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_thalamus_L	-0.0005387090227136	-0.0797890755496815	0.9370402907623496	0.9370402907623496	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_thalamus_R	-0.009862388152844	-1.6253060262652974	0.1166392618364547	0.1832902686001431	True	True	False	True
