subject	run	condition	feature	value
sub-03	3	down	sensory_S1_L	1733.6162637056186
sub-03	3	down	sensory_S1_L	-2140.755325648297
sub-03	3	down	sensory_S1_L	-838.7539019410151
sub-03	3	down	sensory_S1_L	862.3047680479867
sub-03	4	passive	sensory_S1_L	-118.79641108852228
sub-03	4	passive	sensory_S1_L	-1773.4115730781832
sub-03	4	passive	sensory_S1_L	-1716.074581946987
sub-03	4	passive	sensory_S1_L	-797.0559265192819
sub-03	4	passive	sensory_S1_L	-306.88760434291635
sub-03	4	passive	sensory_S1_L	971.8532083798818
sub-03	4	passive	sensory_S1_L	-1225.6437720731774
sub-03	4	passive	sensory_S1_L	-1128.1795420354429
sub-03	4	passive	sensory_S1_L	-1903.316897677648
sub-03	4	passive	sensory_S1_L	-903.890089892775
sub-03	4	passive	sensory_S1_L	915.8876687246338
sub-03	5	passive	sensory_S1_L	-519.4453420713453
sub-03	5	passive	sensory_S1_L	-2042.6249789458927
sub-03	5	passive	sensory_S1_L	-417.217801038676
sub-03	5	passive	sensory_S1_L	-1890.2425049792344
sub-03	5	passive	sensory_S1_L	-1472.440010592156
sub-03	5	passive	sensory_S1_L	-1773.275167009715
sub-03	5	passive	sensory_S1_L	-1666.914290634394
sub-03	5	passive	sensory_S1_L	-2823.435953295233
sub-03	5	passive	sensory_S1_L	307.8017686621788
sub-03	5	passive	sensory_S1_L	-2111.4642654164327
sub-03	5	passive	sensory_S1_L	404.5414661973045
sub-03	6	passive	sensory_S1_L	-2570.9406145472058
sub-03	6	passive	sensory_S1_L	-1052.8864402884806
sub-03	6	passive	sensory_S1_L	-3294.7256755799253
sub-03	6	passive	sensory_S1_L	-781.6844246035425
sub-03	6	passive	sensory_S1_L	-2136.0509324744467
sub-03	6	passive	sensory_S1_L	-1518.6861449897988
sub-03	6	passive	sensory_S1_L	-1052.4746790885583
sub-03	6	passive	sensory_S1_L	-1552.8577307538258
sub-03	6	passive	sensory_S1_L	-1721.7702679668337
sub-03	6	passive	sensory_S1_L	-2089.072913780881
sub-03	6	passive	sensory_S1_L	480.4584806665964
sub-03	7	up	sensory_S1_L	-1676.641329249161
sub-03	7	up	sensory_S1_L	552.6671216567261
sub-03	7	up	sensory_S1_L	-172.96080844975066
sub-03	7	up	sensory_S1_L	-2294.750647015784
sub-03	7	up	sensory_S1_L	-2009.516128717252
sub-03	7	up	sensory_S1_L	-1164.4940439579425
sub-03	7	up	sensory_S1_L	786.5725782411885
sub-03	7	up	sensory_S1_L	-2831.622303576997
sub-03	7	up	sensory_S1_L	-3736.060782655093
sub-03	7	up	sensory_S1_L	-2999.9448805355096
sub-03	8	passive	sensory_S1_L	1371.0226009223188
sub-03	8	passive	sensory_S1_L	-1396.0358136275845
sub-03	8	passive	sensory_S1_L	347.3248573325509
sub-03	8	passive	sensory_S1_L	-1208.2982477201967
sub-03	8	passive	sensory_S1_L	-3142.476671421914
sub-03	8	passive	sensory_S1_L	-2948.5718388989626
sub-03	8	passive	sensory_S1_L	-1778.5077921249322
sub-03	8	passive	sensory_S1_L	847.5211376273131
sub-03	8	passive	sensory_S1_L	-1318.7424207128024
sub-03	8	passive	sensory_S1_L	-864.0625167789185
sub-03	8	passive	sensory_S1_L	-2540.610416522897
sub-03	9	passive	sensory_S1_L	1354.1027295314125
sub-03	9	passive	sensory_S1_L	-2975.996282142677
sub-03	9	passive	sensory_S1_L	700.0224475630748
sub-03	9	passive	sensory_S1_L	-380.88584202257607
sub-03	9	passive	sensory_S1_L	476.6269290570217
sub-03	9	passive	sensory_S1_L	-1954.997366828975
sub-03	9	passive	sensory_S1_L	-1189.407176151641
sub-03	9	passive	sensory_S1_L	-4345.382025265022
sub-03	9	passive	sensory_S1_L	-1216.322640077722
sub-03	9	passive	sensory_S1_L	-1463.1022920032574
sub-03	9	passive	sensory_S1_L	-43.06210821272544
sub-04	1	passive	sensory_S1_L	-179.2455771322966
sub-04	1	passive	sensory_S1_L	-71.30952039517797
sub-04	1	passive	sensory_S1_L	-1311.0709360351975
sub-04	1	passive	sensory_S1_L	-125.55047840481711
sub-04	1	passive	sensory_S1_L	-1472.877822678401
sub-04	1	passive	sensory_S1_L	-466.4559112765282
sub-04	1	passive	sensory_S1_L	-1207.1384113941604
sub-04	1	passive	sensory_S1_L	-121.21256161041129
sub-04	1	passive	sensory_S1_L	-1470.5186599950084
sub-04	1	passive	sensory_S1_L	-286.4018162684888
sub-04	1	passive	sensory_S1_L	50.95014801013167
sub-04	2	passive	sensory_S1_L	184.27499625283235
sub-04	2	passive	sensory_S1_L	521.3336705252368
sub-04	2	passive	sensory_S1_L	-1219.307185412814
sub-04	2	passive	sensory_S1_L	917.111417580476
sub-04	2	passive	sensory_S1_L	-550.6147355794747
sub-04	2	passive	sensory_S1_L	-372.13948652619183
sub-04	2	passive	sensory_S1_L	-914.3156049329118
sub-04	2	passive	sensory_S1_L	-577.029606798671
sub-04	2	passive	sensory_S1_L	-180.6266383764305
sub-04	2	passive	sensory_S1_L	-344.7497058191402
sub-04	2	passive	sensory_S1_L	-1723.0216627752525
sub-04	3	down	sensory_S1_L	-443.26740962977146
sub-04	3	down	sensory_S1_L	-194.1802477485262
sub-04	3	down	sensory_S1_L	-1122.0025014177818
sub-04	3	down	sensory_S1_L	-1329.5457519371255
sub-04	3	down	sensory_S1_L	-1246.531297964786
sub-04	3	down	sensory_S1_L	-357.98708709923267
sub-04	3	down	sensory_S1_L	-12.351915982932042
sub-04	3	down	sensory_S1_L	-1163.0084300475164
sub-04	3	down	sensory_S1_L	209.6263564872825
sub-04	3	down	sensory_S1_L	107.53387486736028
sub-04	4	passive	sensory_S1_L	2136.0207534718284
sub-04	4	passive	sensory_S1_L	-868.6473093461259
sub-04	4	passive	sensory_S1_L	-1415.7687705447024
sub-04	4	passive	sensory_S1_L	-1941.6593804196527
sub-04	4	passive	sensory_S1_L	-299.9401935808096
sub-04	4	passive	sensory_S1_L	-2489.7952081566327
sub-04	4	passive	sensory_S1_L	-83.06863992380022
sub-04	4	passive	sensory_S1_L	26.600010072913392
sub-04	4	passive	sensory_S1_L	-1535.1898476589122
sub-04	4	passive	sensory_S1_L	-278.577755640561
sub-04	4	passive	sensory_S1_L	-677.7490420780887
sub-04	6	passive	sensory_S1_L	-1209.210693521265
sub-04	6	passive	sensory_S1_L	-1705.280178988527
sub-04	6	passive	sensory_S1_L	211.98301246298524
sub-04	6	passive	sensory_S1_L	-2204.816246411776
sub-04	6	passive	sensory_S1_L	1949.003037700424
sub-04	6	passive	sensory_S1_L	-148.43013152543244
sub-04	6	passive	sensory_S1_L	-1092.6483565795645
sub-04	6	passive	sensory_S1_L	500.176295230669
sub-04	6	passive	sensory_S1_L	-1672.9548508855803
sub-04	6	passive	sensory_S1_L	-3346.2694749966176
sub-04	6	passive	sensory_S1_L	-686.7031458339297
sub-04	7	up	sensory_S1_L	3606.0910574753934
sub-04	7	up	sensory_S1_L	-33.35953107435671
sub-04	7	up	sensory_S1_L	-4882.157557492013
sub-04	7	up	sensory_S1_L	-1098.1877993833768
sub-04	7	up	sensory_S1_L	-141.12065245710892
sub-04	7	up	sensory_S1_L	1433.761032242417
sub-04	7	up	sensory_S1_L	-1181.0381017004183
sub-04	7	up	sensory_S1_L	-1224.7582791187233
sub-04	7	up	sensory_S1_L	-67.57022543045605
sub-04	7	up	sensory_S1_L	268.36004323108864
sub-04	8	passive	sensory_S1_L	2366.048770392172
sub-04	8	passive	sensory_S1_L	-667.8519975614313
sub-04	8	passive	sensory_S1_L	-1749.2559629759717
sub-04	8	passive	sensory_S1_L	-89.27567708720467
sub-04	8	passive	sensory_S1_L	-2076.3162743218195
sub-04	8	passive	sensory_S1_L	-1205.593619738729
sub-04	8	passive	sensory_S1_L	-1209.7880949833234
sub-04	8	passive	sensory_S1_L	-1176.563842754471
sub-04	8	passive	sensory_S1_L	-457.37819564919886
sub-04	8	passive	sensory_S1_L	-1813.0988746291027
sub-04	8	passive	sensory_S1_L	-1191.8181294821984
sub-05	1	passive	sensory_S1_L	-328.43267324757835
sub-05	1	passive	sensory_S1_L	-1466.059623237852
sub-05	1	passive	sensory_S1_L	-1006.0333377182924
sub-05	1	passive	sensory_S1_L	-1469.0916799367917
sub-05	1	passive	sensory_S1_L	-1112.509603737326
sub-05	1	passive	sensory_S1_L	-1381.5108007580584
sub-05	1	passive	sensory_S1_L	-1411.7891541293138
sub-05	1	passive	sensory_S1_L	-1186.8335403992533
sub-05	1	passive	sensory_S1_L	-1169.6204530813798
sub-05	1	passive	sensory_S1_L	-1605.4710625047082
sub-05	1	passive	sensory_S1_L	-741.3796846162259
sub-05	2	passive	sensory_S1_L	-223.5728035270068
sub-05	2	passive	sensory_S1_L	-1449.784534142278
sub-05	2	passive	sensory_S1_L	-227.6279723265843
sub-05	2	passive	sensory_S1_L	408.433166197734
sub-05	2	passive	sensory_S1_L	-1382.869831737813
sub-05	2	passive	sensory_S1_L	-466.9837274419988
sub-05	2	passive	sensory_S1_L	-134.3221912373865
sub-05	2	passive	sensory_S1_L	-207.6329005505322
sub-05	2	passive	sensory_S1_L	-602.3396549636032
sub-05	2	passive	sensory_S1_L	-964.0930379959829
sub-05	2	passive	sensory_S1_L	-382.416461825851
sub-05	3	up	sensory_S1_L	23.633887863448763
sub-05	3	up	sensory_S1_L	133.82111986369046
sub-05	3	up	sensory_S1_L	-87.23967147694566
sub-05	3	up	sensory_S1_L	-839.3706528761534
sub-05	3	up	sensory_S1_L	-34.8119663244579
sub-05	3	up	sensory_S1_L	117.94096259921751
sub-05	3	up	sensory_S1_L	-54.99033412938252
sub-05	3	up	sensory_S1_L	-10.21674836693819
sub-05	3	up	sensory_S1_L	-637.626003302883
sub-05	3	up	sensory_S1_L	218.9808230606068
sub-05	4	passive	sensory_S1_L	-335.38426247388634
sub-05	4	passive	sensory_S1_L	-102.8381990333546
sub-05	4	passive	sensory_S1_L	-1831.1697326109468
sub-05	4	passive	sensory_S1_L	-801.8635333951161
sub-05	4	passive	sensory_S1_L	-1457.8420024196166
sub-05	4	passive	sensory_S1_L	-1146.358864115069
sub-05	4	passive	sensory_S1_L	-524.7177426612933
sub-05	4	passive	sensory_S1_L	-1061.3161992122475
sub-05	4	passive	sensory_S1_L	-166.21197327273103
sub-05	4	passive	sensory_S1_L	-989.596634319887
sub-05	4	passive	sensory_S1_L	-28.297145895081485
sub-05	5	passive	sensory_S1_L	-694.5751777365494
sub-05	5	passive	sensory_S1_L	261.8350835752062
sub-05	5	passive	sensory_S1_L	-76.45931051674052
sub-05	5	passive	sensory_S1_L	100.15332302155366
sub-05	5	passive	sensory_S1_L	-1265.203338757361
sub-05	5	passive	sensory_S1_L	-552.6887406357955
sub-05	5	passive	sensory_S1_L	-1295.590186237234
sub-05	5	passive	sensory_S1_L	-639.4659308948876
sub-05	5	passive	sensory_S1_L	-118.18815568737044
sub-05	5	passive	sensory_S1_L	-828.4179724534843
sub-05	5	passive	sensory_S1_L	-857.2209154414668
sub-05	6	passive	sensory_S1_L	-774.9170869141926
sub-05	6	passive	sensory_S1_L	790.8957018371502
sub-05	6	passive	sensory_S1_L	-358.68308933792287
sub-05	6	passive	sensory_S1_L	-961.4164355241792
sub-05	6	passive	sensory_S1_L	446.4560361417152
sub-05	6	passive	sensory_S1_L	470.19021926193454
sub-05	6	passive	sensory_S1_L	-149.9605237809501
sub-05	6	passive	sensory_S1_L	603.3878810931892
sub-05	6	passive	sensory_S1_L	-242.39700414255776
sub-05	6	passive	sensory_S1_L	1116.497422609953
sub-05	6	passive	sensory_S1_L	-968.384127362031
sub-05	7	down	sensory_S1_L	-75.68974149603582
sub-05	7	down	sensory_S1_L	-345.5218492936642
sub-05	7	down	sensory_S1_L	-477.5691221799343
sub-05	7	down	sensory_S1_L	-1294.4929336284877
sub-05	7	down	sensory_S1_L	-51.0550976095974
sub-05	7	down	sensory_S1_L	-969.7780371586924
sub-05	7	down	sensory_S1_L	-284.56380812937823
sub-05	7	down	sensory_S1_L	664.1750705193008
sub-05	7	down	sensory_S1_L	-1049.2681021484314
sub-05	7	down	sensory_S1_L	29.15872683419365
sub-05	8	passive	sensory_S1_L	21.91125232866034
sub-05	8	passive	sensory_S1_L	345.4642385321731
sub-05	8	passive	sensory_S1_L	-986.1049361035402
sub-05	8	passive	sensory_S1_L	-737.2113974717286
sub-05	8	passive	sensory_S1_L	-559.6784742312061
sub-05	8	passive	sensory_S1_L	-184.7717587536381
sub-05	8	passive	sensory_S1_L	-86.03902120492421
sub-05	8	passive	sensory_S1_L	-482.098368436049
sub-05	8	passive	sensory_S1_L	-1962.099153403484
sub-05	8	passive	sensory_S1_L	-555.2161094862513
sub-05	8	passive	sensory_S1_L	214.30938527092803
sub-05	9	passive	sensory_S1_L	-61.315145384494826
sub-05	9	passive	sensory_S1_L	763.7628319547339
sub-05	9	passive	sensory_S1_L	276.1131484695743
sub-05	9	passive	sensory_S1_L	-161.24896412831367
sub-05	9	passive	sensory_S1_L	-643.4875370104673
sub-05	9	passive	sensory_S1_L	-322.75995935927494
