measure	contrast	omitted_participant	n	direct_mean_without_participant	direct_sd_without_participant
signature_dot	up_minus_down	sub-26	32	2.605673329439014	15.796626815076177
signature_dot	up_minus_down	sub-27	32	2.6124164215289056	15.795423942797136
signature_dot	up_minus_down	sub-28	32	2.674948216881603	15.779589709515033
signature_dot	up_minus_down	sub-29	32	2.621344523038715	15.793680269110425
signature_dot	up_minus_down	sub-30	32	2.6131220827810466	15.795292389585073
signature_dot	up_minus_down	sub-31	32	2.579180409666151	15.80040275186346
signature_dot	up_minus_down	sub-32	32	2.6059892585035414	15.796572649209208
signature_dot	up_minus_down	sub-33	32	2.661626053508371	15.783671919875736
signature_weighted_mean	up_minus_passive	sub-01	32	0.01274677201550377	0.10580476784356589
signature_weighted_mean	up_minus_passive	sub-02	32	0.01339364863927841	0.10558407031499664
signature_weighted_mean	up_minus_passive	sub-03	32	0.012459911885987754	0.10585940260181434
signature_weighted_mean	up_minus_passive	sub-04	32	0.012729895597408104	0.10580871631994031
signature_weighted_mean	up_minus_passive	sub-05	32	0.012369273391804917	0.10587115513437613
signature_weighted_mean	up_minus_passive	sub-06	32	-0.006079825663424866	0.007982640846323719
signature_weighted_mean	up_minus_passive	sub-07	32	0.012675528519628271	0.10582081184338304
signature_weighted_mean	up_minus_passive	sub-08	32	0.012658815085467049	0.10582433874426529
signature_weighted_mean	up_minus_passive	sub-09	32	0.01263330553281401	0.10582954824515332
signature_weighted_mean	up_minus_passive	sub-10	32	0.012602494817325848	0.10583556073657507
signature_weighted_mean	up_minus_passive	sub-11	32	0.012422018605646061	0.10586463771151691
signature_weighted_mean	up_minus_passive	sub-12	32	0.01234160092608162	0.10587421630335997
signature_weighted_mean	up_minus_passive	sub-13	32	0.012438017469417396	0.10586248379309453
signature_weighted_mean	up_minus_passive	sub-14	32	0.012419423312717844	0.10586497934632592
signature_weighted_mean	up_minus_passive	sub-15	32	0.012684457378436848	0.10581889075826532
signature_weighted_mean	up_minus_passive	sub-16	32	0.012606774928460355	0.10583474379836598
signature_weighted_mean	up_minus_passive	sub-17	32	0.01261396927384473	0.10583335732520228
signature_weighted_mean	up_minus_passive	sub-18	32	0.012797021326852518	0.10579246739022732
signature_weighted_mean	up_minus_passive	sub-19	32	0.012518465462515425	0.10585040398207837
signature_weighted_mean	up_minus_passive	sub-20	32	0.012476844571395265	0.10585691382875709
signature_weighted_mean	up_minus_passive	sub-21	32	0.012519111505342233	0.10585029853873881
signature_weighted_mean	up_minus_passive	sub-22	32	0.012146373140172712	0.10588881078796278
signature_weighted_mean	up_minus_passive	sub-23	32	0.012182496524654376	0.10588703498265684
signature_weighted_mean	up_minus_passive	sub-24	32	0.012451601947633516	0.10586059022884611
signature_weighted_mean	up_minus_passive	sub-25	32	0.012663135348300079	0.10582343570292839
signature_weighted_mean	up_minus_passive	sub-26	32	0.012344535046409042	0.10587390340785194
signature_weighted_mean	up_minus_passive	sub-27	32	0.012600961921360945	0.10583585188251683
signature_weighted_mean	up_minus_passive	sub-28	32	0.013199043304576432	0.1056647012250708
signature_weighted_mean	up_minus_passive	sub-29	32	0.012364143013520297	0.10587174127633392
signature_weighted_mean	up_minus_passive	sub-30	32	0.012831276678530425	0.10578361517274136
signature_weighted_mean	up_minus_passive	sub-31	32	0.012555114155064766	0.1058442099070507
signature_weighted_mean	up_minus_passive	sub-32	32	0.012459881517520248	0.1058594069824478
signature_weighted_mean	up_minus_passive	sub-33	32	0.01255753989695859	0.10584378466175236
signature_weighted_mean	down_minus_passive	sub-01	32	-0.004443692038314413	0.0059099785646061645
signature_weighted_mean	down_minus_passive	sub-02	32	-0.004877578483889035	0.006342495486743284
signature_weighted_mean	down_minus_passive	sub-03	32	-0.0049168497066008916	0.006330397360127647
signature_weighted_mean	down_minus_passive	sub-04	32	-0.004719801765292913	0.006307469507403095
signature_weighted_mean	down_minus_passive	sub-05	32	-0.005045060612122717	0.006232328270810088
signature_weighted_mean	down_minus_passive	sub-06	32	-0.004599134764644229	0.006188762005335744
signature_weighted_mean	down_minus_passive	sub-07	32	-0.00466265315362803	0.0062614119782558614
signature_weighted_mean	down_minus_passive	sub-08	32	-0.004924898753800588	0.0063268895960140814
signature_weighted_mean	down_minus_passive	sub-09	32	-0.004815102700676855	0.00634465295793899
signature_weighted_mean	down_minus_passive	sub-10	32	-0.004963829990507014	0.006304956947876201
signature_weighted_mean	down_minus_passive	sub-11	32	-0.004876165383812705	0.006342776005894397
signature_weighted_mean	down_minus_passive	sub-12	32	-0.00504075469702972	0.006237104030523935
signature_weighted_mean	down_minus_passive	sub-13	32	-0.005196375838730357	0.0059955877750561435
signature_weighted_mean	down_minus_passive	sub-14	32	-0.004679043576363826	0.006276469127505619
signature_weighted_mean	down_minus_passive	sub-15	32	-0.004853652416343442	0.00634579788220768
signature_weighted_mean	down_minus_passive	sub-16	32	-0.004695884597041691	0.006290387522545233
signature_weighted_mean	down_minus_passive	sub-17	32	-0.004925068294846995	0.006326811938231609
signature_weighted_mean	down_minus_passive	sub-18	32	-0.004990297096247894	0.006285313790431308
signature_weighted_mean	down_minus_passive	sub-19	32	-0.004533516981178922	0.006089148117414102
signature_weighted_mean	down_minus_passive	sub-20	32	-0.004908950324358032	0.006333499223711456
signature_weighted_mean	down_minus_passive	sub-21	32	-0.0050724870038667885	0.006199432306357459
signature_weighted_mean	down_minus_passive	sub-22	32	-0.004832717690289655	0.006346165940648341
signature_weighted_mean	down_minus_passive	sub-23	32	-0.004801922356297942	0.006342430728198057
signature_weighted_mean	down_minus_passive	sub-24	32	-0.004760277334206733	0.006329262982589752
signature_weighted_mean	down_minus_passive	sub-25	32	-0.004573013507855802	0.006152157766179513
signature_weighted_mean	down_minus_passive	sub-26	32	-0.004816084739309204	0.006344781164998064
signature_weighted_mean	down_minus_passive	sub-27	32	-0.004782530224542211	0.0063374623996235915
signature_weighted_mean	down_minus_passive	sub-28	32	-0.005005548479219733	0.006272239165527234
signature_weighted_mean	down_minus_passive	sub-29	32	-0.0051034116423085175	0.006157140159273095
signature_weighted_mean	down_minus_passive	sub-30	32	-0.004531037164335895	0.006084878882154534
signature_weighted_mean	down_minus_passive	sub-31	32	-0.00458978800855552	0.006176121532712681
signature_weighted_mean	down_minus_passive	sub-32	32	-0.004978325220611635	0.006294676152426919
signature_weighted_mean	down_minus_passive	sub-33	32	-0.005201568552027532	0.0059849850153853535
