effect	signature	family	behavior	n	pearson_r	pearson_p	spearman_rho	spearman_p	pearson_q_fdr	spearman_q_fdr
down_minus_passive_FE	Geuter_cPDM	signature	passive_sensory_slope_z	33	0.1803328679253323	0.31525641803628324	0.16310160427807488	0.36445225131769754	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Geuter_cPDM	signature	passive_withinrun_slope_z	33	-0.12857641305484538	0.47578153687907737	-0.12767379679144386	0.4789104095323652	0.8937481936770869	0.890382579902315
down_minus_passive_FE	Geuter_cPDM	signature	passive_acrossrun_slope_z	33	0.01564452477846092	0.9311398496938748	0.017045454545454548	0.9249901786454771	0.9900997422671012	0.9502122593929216
down_minus_passive_FE	Krishnan_VPS	signature	mean_reg_success_z	33	-0.09196897445953758	0.6107302408859174	-0.14538770053475936	0.4195005333060412	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Krishnan_VPS	signature	reg_success_z_up	33	-0.1864075160700668	0.2989539283549971	-0.1911764705882353	0.28653755555956745	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Krishnan_VPS	signature	reg_success_z_down	33	0.05317674358558782	0.768829429114938	-0.0411096256684492	0.8203095538402494	0.9462516050645391	0.9502122593929216
down_minus_passive_FE	Krishnan_VPS	signature	success_asymmetry_z_up_minus_down	33	-0.19551887095054646	0.27552410162428126	-0.29745989304812837	0.09272658787187307	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Krishnan_VPS	signature	task_separation_rating_z_up_minus_down	33	-0.09495844280575218	0.5991302342427574	-0.1751336898395722	0.3296416598719488	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Krishnan_VPS	signature	passive_sensory_slope_z	33	0.058387197080631774	0.7468833841230665	-0.02038770053475936	0.9103365440548119	0.9336042301538331	0.9502122593929216
down_minus_passive_FE	Krishnan_VPS	signature	passive_withinrun_slope_z	33	0.08618515942359552	0.6334369016353015	0.21022727272727276	0.2402838477334271	0.8937481936770869	0.8357699051597465
down_minus_passive_FE	Krishnan_VPS	signature	passive_acrossrun_slope_z	33	-0.13045394900937937	0.4693074449911093	-0.161096256684492	0.37045884125115935	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Krishnan_VPS_no_occipital	signature	mean_reg_success_z	33	0.008911573098937295	0.9607439286748551	-0.026403743315508023	0.8840360735526009	0.9900997422671012	0.9502122593929216
down_minus_passive_FE	Krishnan_VPS_no_occipital	signature	reg_success_z_up	33	-0.10730758337843514	0.5522534104067839	-0.08656417112299465	0.631938548223677	0.8937481936770869	0.8999443485969634
down_minus_passive_FE	Krishnan_VPS_no_occipital	signature	reg_success_z_down	33	0.1314115368571586	0.46602343166237203	0.016711229946524065	0.9264569529080986	0.8937481936770869	0.9502122593929216
down_minus_passive_FE	Krishnan_VPS_no_occipital	signature	success_asymmetry_z_up_minus_down	33	-0.18946935373596144	0.2909435479052613	-0.26771390374331555	0.13200350710269393	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Krishnan_VPS_no_occipital	signature	task_separation_rating_z_up_minus_down	33	0.029293074162096804	0.8714460517836867	-0.034759358288770054	0.8477140817369522	0.989728470761695	0.9502122593929216
down_minus_passive_FE	Krishnan_VPS_no_occipital	signature	passive_sensory_slope_z	33	0.020790730458790135	0.9085713751415205	-0.03308823529411765	0.854956355062533	0.989728470761695	0.9502122593929216
down_minus_passive_FE	Krishnan_VPS_no_occipital	signature	passive_withinrun_slope_z	33	0.1512660922864481	0.40073857399398444	0.2413101604278075	0.17609946018216144	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Krishnan_VPS_no_occipital	signature	passive_acrossrun_slope_z	33	-0.08724240769739347	0.6292608506053006	-0.08656417112299465	0.631938548223677	0.8937481936770869	0.8999443485969634
down_minus_passive_FE	NPS	signature	mean_reg_success_z	33	-0.26420565881671315	0.13733984064168442	-0.25501336898395727	0.15206944606157874	0.8937481936770869	0.8273397369127232
