effect	roi	family	behavior	n	pearson_r	pearson_p	spearman_rho	spearman_p	pearson_q_fdr	spearman_q_fdr
stim_up_temp_FE	sensory_dACC_MCC	targeted_sensory	reg_success_z_down	33	-0.30413151098454677	0.08529323505618151	-0.3275401069518717	0.0627830326827784	0.5003869789962649	0.36832712507230003
stim_up_temp_FE	sensory_dACC_MCC	targeted_sensory	success_asymmetry_z_up_minus_down	33	-0.037093431019409664	0.8376192847547679	-0.10695187165775402	0.5535793598608968	0.9610255753040781	0.9816073788511099
stim_up_temp_FE	sensory_dACC_MCC	targeted_sensory	task_separation_rating_z_up_minus_down	33	-0.40060413077677914	0.020873356096599717	-0.4455213903743316	0.009368040613625452	0.3130655593749721	0.25179797670571613
stim_up_temp_FE	sensory_dACC_MCC	targeted_sensory	passive_sensory_slope_z	33	-0.1865519058333503	0.2985730627426224	-0.23362299465240643	0.19070087012477865	0.8758143173783591	0.6673473902028199
stim_up_temp_FE	sensory_dACC_MCC	targeted_sensory	passive_withinrun_slope_z	33	-0.06247156251690647	0.7298147832623593	-0.04946524064171123	0.7845712261751205	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_dACC_MCC	targeted_sensory	passive_acrossrun_slope_z	33	0.13555527362454606	0.45195352061063976	0.04411764705882353	0.8073988538126244	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_L	targeted_sensory	mean_reg_success_z	33	0.01407049004741515	0.9380540492628346	0.002005347593582888	0.9911630914606229	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_L	targeted_sensory	reg_success_z_up	33	0.1090349679196416	0.5458355821147125	0.12232620320855615	0.4976645500887904	0.924017602638748	0.9732106757291902
stim_up_temp_FE	sensory_insula_all_L	targeted_sensory	reg_success_z_down	33	-0.09584100308434897	0.5957238888399926	-0.014371657754010697	0.9367307629739008	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_L	targeted_sensory	success_asymmetry_z_up_minus_down	33	0.16376253801012125	0.3624853185557252	0.13502673796791445	0.4537353346367933	0.924017602638748	0.9506835582866144
stim_up_temp_FE	sensory_insula_all_L	targeted_sensory	task_separation_rating_z_up_minus_down	33	-0.01664233842078099	0.926759319170298	-0.03442513368983957	0.8491615782324099	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_L	targeted_sensory	passive_sensory_slope_z	33	-0.0241550606082388	0.8938539862443124	-0.12266042780748664	0.4964816355471343	0.9610255753040781	0.9732106757291902
stim_up_temp_FE	sensory_insula_all_L	targeted_sensory	passive_withinrun_slope_z	33	-0.3944194297629185	0.023124707746567365	-0.20822192513368984	0.2449016052780339	0.3130655593749721	0.7183780421488994
stim_up_temp_FE	sensory_insula_all_L	targeted_sensory	passive_acrossrun_slope_z	33	-0.15359413664906435	0.39344288967813884	-0.071524064171123	0.6924450855527109	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_R	targeted_sensory	mean_reg_success_z	33	-0.10571561455628219	0.558199119705274	-0.002005347593582888	0.9911630914606229	0.924017602638748	0.9911630914606229
