effect	roi	comparison_set	n_overlap_subjects	pearson_r	pearson_p	main_mean	comparison_mean
down_minus_passive_FE	sensory_insula_all_L	fd_bad_run_exclude	30	0.9978835614695988	8.745901464931922e-35	-0.022546728496143423	-0.025349943528029446
down_minus_passive_FE	sensory_insula_all_L	high_motion_subject_exclude	26	1.0	0.0	-0.022546728496143423	-0.026962957121073626
down_minus_passive_FE	sensory_insula_all_R	fd_bad_run_exclude	30	0.9927485681098531	2.6043589656005483e-27	-0.03548390159355194	-0.02425674380113681
down_minus_passive_FE	sensory_insula_all_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.03548390159355194	-0.024726780767265994
down_minus_passive_FE	sensory_posterior_insula_L	fd_bad_run_exclude	30	0.9721356203783293	3.513383273099643e-19	-0.025622722576372325	-0.03009344613722836
down_minus_passive_FE	sensory_posterior_insula_L	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.025622722576372325	-0.026602479320270225
down_minus_passive_FE	sensory_posterior_insula_R	fd_bad_run_exclude	30	0.9959852988840106	6.752463424020198e-31	-0.03820612280678964	-0.02782701687538065
down_minus_passive_FE	sensory_posterior_insula_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.03820612280678964	-0.028505327741955765
down_minus_passive_FE	sensory_thalamus_L	fd_bad_run_exclude	30	0.9780889292687982	1.2594591596210603e-20	0.0001535339556126432	0.0011678347053627172
down_minus_passive_FE	sensory_thalamus_L	high_motion_subject_exclude	26	0.9999999999999999	0.0	0.0001535339556126432	-0.0005387090227136818
down_minus_passive_FE	sensory_thalamus_R	fd_bad_run_exclude	30	0.9819926317790286	8.271298005327108e-22	-0.009572983359579335	-0.009202164233041306
down_minus_passive_FE	sensory_thalamus_R	high_motion_subject_exclude	26	1.0	0.0	-0.009572983359579335	-0.009862388152844058
regulation_mean_minus_passive_FE	expl_amygdala_L	fd_bad_run_exclude	26	0.9988217349485795	4.698823712168819e-33	-0.10805045167746191	0.002965409863883486
regulation_mean_minus_passive_FE	expl_amygdala_L	high_motion_subject_exclude	26	1.0	0.0	-0.10805045167746191	0.002867113109319829
regulation_mean_minus_passive_FE	expl_amygdala_R	fd_bad_run_exclude	26	0.999753288843382	3.352688991292265e-41	-0.11271726061011467	0.003920915491807346
regulation_mean_minus_passive_FE	expl_amygdala_R	high_motion_subject_exclude	26	1.0	0.0	-0.11271726061011467	0.004086350910186481
regulation_mean_minus_passive_FE	expl_hippocampus_L	fd_bad_run_exclude	26	0.9926929850086597	1.4737203727774466e-23	-0.10433550830930471	0.010182143420724269
regulation_mean_minus_passive_FE	expl_hippocampus_L	high_motion_subject_exclude	26	1.0	0.0	-0.10433550830930471	0.010565677836823922
regulation_mean_minus_passive_FE	expl_hippocampus_R	fd_bad_run_exclude	26	0.9973718522423347	7.074098042631658e-29	-0.10257326199842448	0.012035135726014582
regulation_mean_minus_passive_FE	expl_hippocampus_R	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.10257326199842448	0.012524509489034804
regulation_mean_minus_passive_FE	expl_hypothalamus	fd_bad_run_exclude	26	0.9986870858458465	1.720331396641617e-32	-0.12087319908967016	-0.009653521074841801
regulation_mean_minus_passive_FE	expl_hypothalamus	high_motion_subject_exclude	26	1.0	0.0	-0.12087319908967016	-0.009010196161957888
regulation_mean_minus_passive_FE	reg_NAc_L	fd_bad_run_exclude	26	0.9982527751077349	5.296678491684878e-31	-0.1208346460533159	-0.011314574915629167
regulation_mean_minus_passive_FE	reg_NAc_L	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.1208346460533159	-0.011371070662370095
regulation_mean_minus_passive_FE	reg_NAc_R	fd_bad_run_exclude	26	0.9995853498791369	1.7019194980462798e-38	-0.12418057708154348	-0.016403259906487968
regulation_mean_minus_passive_FE	reg_NAc_R	high_motion_subject_exclude	26	1.0	0.0	-0.12418057708154348	-0.015991609964448098
regulation_mean_minus_passive_FE	reg_PAG_sphere	fd_bad_run_exclude	26	0.9997511150580536	3.7248300585467606e-41	-0.11817407241588543	-0.011945364357625995
regulation_mean_minus_passive_FE	reg_PAG_sphere	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.11817407241588543	-0.01154592913203837
regulation_mean_minus_passive_FE	reg_SMA_preSMA	fd_bad_run_exclude	26	0.9967206107615458	1.0045038154056455e-27	-0.11018569663054112	0.0037691151060593817
regulation_mean_minus_passive_FE	reg_SMA_preSMA	high_motion_subject_exclude	26	1.0	0.0	-0.11018569663054112	0.004788506220882902
regulation_mean_minus_passive_FE	reg_anterior_insula_L	fd_bad_run_exclude	26	0.999029211085283	4.602868554304948e-34	-0.14073775027116592	-0.030233067102157153
regulation_mean_minus_passive_FE	reg_anterior_insula_L	high_motion_subject_exclude	26	1.0	0.0	-0.14073775027116592	-0.030000541502466567
regulation_mean_minus_passive_FE	reg_anterior_insula_R	fd_bad_run_exclude	26	0.9999420697633582	9.427742108493757e-49	-0.1432221056919926	-0.025027555064298213
regulation_mean_minus_passive_FE	reg_anterior_insula_R	high_motion_subject_exclude	26	1.0	0.0	-0.1432221056919926	-0.024728396373505417
regulation_mean_minus_passive_FE	reg_caudate_L	fd_bad_run_exclude	26	0.9978437214580159	6.597411391517845e-30	-0.11035384178323897	-0.001823837447983141
regulation_mean_minus_passive_FE	reg_caudate_L	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.11035384178323897	-0.001684170117816673
regulation_mean_minus_passive_FE	reg_caudate_R	fd_bad_run_exclude	26	0.997803371752318	8.23957767858691e-30	-0.11297072616765615	-0.0024709263100073887
regulation_mean_minus_passive_FE	reg_caudate_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.11297072616765615	-0.0020947958557651592
regulation_mean_minus_passive_FE	reg_dlPFC_IFJ_L	fd_bad_run_exclude	26	0.9985941560358895	3.906758615808616e-32	-0.09628340674592464	0.015670869123333923
regulation_mean_minus_passive_FE	reg_dlPFC_IFJ_L	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.09628340674592464	0.015177311250366844
regulation_mean_minus_passive_FE	reg_dlPFC_IFJ_R	fd_bad_run_exclude	26	0.9986995980560706	1.5336811335532598e-32	-0.1199098516486684	-0.011828212612621987
regulation_mean_minus_passive_FE	reg_dlPFC_IFJ_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.1199098516486684	-0.012795620928115498
regulation_mean_minus_passive_FE	reg_mOFC	fd_bad_run_exclude	26	0.9960323190810473	9.848200025314741e-27	-0.11368253850025323	-0.008386739498326698
regulation_mean_minus_passive_FE	reg_mOFC	high_motion_subject_exclude	26	1.0	0.0	-0.11368253850025323	-0.00803625490068673
regulation_mean_minus_passive_FE	reg_pgACC_rACC	fd_bad_run_exclude	26	0.9924637156167327	2.1326289569086938e-23	-0.1124674705012391	-0.004125349196748665
regulation_mean_minus_passive_FE	reg_pgACC_rACC	high_motion_subject_exclude	26	1.0	0.0	-0.1124674705012391	-0.004747477100374034
regulation_mean_minus_passive_FE	reg_putamen_L	fd_bad_run_exclude	26	0.9995471695189097	4.896672853560962e-38	-0.09873503467569014	0.011194514787348453
regulation_mean_minus_passive_FE	reg_putamen_L	high_motion_subject_exclude	26	1.0	0.0	-0.09873503467569014	0.01151119844423822
regulation_mean_minus_passive_FE	reg_putamen_R	fd_bad_run_exclude	26	0.9993178281601145	6.681791461436344e-36	-0.10080463910531817	0.010020337031724362
regulation_mean_minus_passive_FE	reg_putamen_R	high_motion_subject_exclude	26	1.0	0.0	-0.10080463910531817	0.010628978542696971
regulation_mean_minus_passive_FE	reg_vmPFC	fd_bad_run_exclude	26	0.997399949682523	6.218946083135961e-29	-0.10522654731616829	-0.002577349212235556
regulation_mean_minus_passive_FE	reg_vmPFC	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.10522654731616829	-0.0022957766285309424
regulation_mean_minus_passive_FE	reg_vmPFC_mOFC	fd_bad_run_exclude	26	0.9981885800882485	8.164054746361757e-31	-0.1098227959838837	-0.00573504988838417
regulation_mean_minus_passive_FE	reg_vmPFC_mOFC	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.1098227959838837	-0.005416019895794586
regulation_mean_minus_passive_FE	sensory_S1_L	fd_bad_run_exclude	26	0.996082467797366	8.456246939686125e-27	-0.10196508563151865	0.011874544290969005
regulation_mean_minus_passive_FE	sensory_S1_L	high_motion_subject_exclude	26	1.0	0.0	-0.10196508563151865	0.012869975690801557
regulation_mean_minus_passive_FE	sensory_S1_R	fd_bad_run_exclude	26	0.9976134213985028	2.226977638319862e-29	-0.10524993760973854	0.008362240265481748
regulation_mean_minus_passive_FE	sensory_S1_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.10524993760973854	0.009183945116372062
regulation_mean_minus_passive_FE	sensory_S2_operculum_L	fd_bad_run_exclude	26	0.9986994286768887	1.5360786994251266e-32	-0.13707537420630228	-0.022690262439517446
regulation_mean_minus_passive_FE	sensory_S2_operculum_L	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.13707537420630228	-0.022828093559767764
regulation_mean_minus_passive_FE	sensory_S2_operculum_R	fd_bad_run_exclude	26	0.9993319788736895	5.1961423765654154e-36	-0.14823793407148597	-0.03274405813023735
regulation_mean_minus_passive_FE	sensory_S2_operculum_R	high_motion_subject_exclude	26	0.9999999999999997	3.8843150512797476e-182	-0.14823793407148597	-0.032424450175872505
regulation_mean_minus_passive_FE	sensory_dACC_MCC	fd_bad_run_exclude	26	0.9971217030069587	2.103530318064637e-28	-0.11295647610148246	-0.00010996284142423134
regulation_mean_minus_passive_FE	sensory_dACC_MCC	high_motion_subject_exclude	26	0.9999999999999996	3.8843150512797476e-182	-0.11295647610148246	0.0004061031817960051
regulation_mean_minus_passive_FE	sensory_insula_all_L	fd_bad_run_exclude	26	0.9998114833916203	1.3287752591891761e-42	-0.1330993746435552	-0.024027947775231533
regulation_mean_minus_passive_FE	sensory_insula_all_L	high_motion_subject_exclude	26	1.0	0.0	-0.1330993746435552	-0.023947751964442432
regulation_mean_minus_passive_FE	sensory_insula_all_R	fd_bad_run_exclude	26	0.9998358849990765	2.5181945617790995e-43	-0.14382148550463503	-0.027043876267271116
regulation_mean_minus_passive_FE	sensory_insula_all_R	high_motion_subject_exclude	26	1.0	0.0	-0.14382148550463503	-0.02685581723702713
regulation_mean_minus_passive_FE	sensory_posterior_insula_L	fd_bad_run_exclude	26	0.9990339888687095	4.3383738990226705e-34	-0.1347476303820837	-0.022932027914346412
regulation_mean_minus_passive_FE	sensory_posterior_insula_L	high_motion_subject_exclude	26	1.0	0.0	-0.1347476303820837	-0.022543319789782308
regulation_mean_minus_passive_FE	sensory_posterior_insula_R	fd_bad_run_exclude	26	0.9997061601784546	2.7311885950515212e-40	-0.14863608819150337	-0.03023979930171313
regulation_mean_minus_passive_FE	sensory_posterior_insula_R	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.14863608819150337	-0.03028315021835554
regulation_mean_minus_passive_FE	sensory_thalamus_L	fd_bad_run_exclude	26	0.994007002290284	1.3745801951277202e-24	-0.11124125630444862	-0.0008671034067027414
regulation_mean_minus_passive_FE	sensory_thalamus_L	high_motion_subject_exclude	26	1.0	0.0	-0.11124125630444862	7.819609835188693e-05
regulation_mean_minus_passive_FE	sensory_thalamus_R	fd_bad_run_exclude	26	0.9911559973719354	1.4451757759411823e-22	-0.12076367943716998	-0.008862355943375196
