subject	run	run_label	fd_mean
sub-14	4	run-04	0.0761912767653658
sub-14	5	run-05	0.0904342022528927
sub-14	6	run-06	0.0969973895512073
sub-14	7	run-07	0.1179446581142578
sub-14	8	run-08	0.093377093429734
sub-14	9	run-09	0.1344852938182111
sub-15	1	run-01	0.065464943671645
sub-15	2	run-02	0.0722420432675692
sub-15	3	run-03	0.0813382406451091
sub-15	4	run-04	0.0728127995859119
sub-15	5	run-05	0.0814128005498193
sub-15	6	run-06	0.0774379398289949
sub-15	7	run-07	0.0768463523137297
sub-15	8	run-08	0.0724008048563706
sub-15	9	run-09	0.093391031074678
sub-16	1	run-01	0.1221807598262611
sub-16	2	run-02	0.1176911593300903
sub-16	3	run-03	0.1457355925145239
sub-16	4	run-04	0.1524422064424586
sub-16	5	run-05	0.1553197203676651
sub-16	6	run-06	0.1513368570662753
sub-16	7	run-07	0.1381218467485633
sub-16	8	run-08	0.1066291526357373
sub-16	9	run-09	0.1304941733308472
sub-17	1	run-01	0.0806662222994967
sub-17	2	run-02	0.0871712818544386
sub-17	3	run-03	0.1078755373000173
sub-17	4	run-04	0.1135345960643833
sub-17	5	run-05	0.1225548522807726
sub-17	6	run-06	0.0966468881295577
sub-17	7	run-07	0.0741714707123167
sub-17	8	run-08	0.1006577057294308
sub-17	9	run-09	0.0908200716493823
sub-18	1	run-01	0.0944648205833166
sub-18	2	run-02	0.0884817280947887
sub-18	3	run-03	0.0980220115602342
sub-18	4	run-04	0.0959357830524436
sub-18	5	run-05	0.1233611675145872
sub-18	6	run-06	0.1052990080908457
sub-18	7	run-07	0.1793099480953183
sub-18	8	run-08	0.1255965528704319
sub-18	9	run-09	0.1328810232896611
sub-19	1	run-01	0.1655220628627409
sub-19	2	run-02	0.2011517076404187
sub-19	3	run-03	0.2899733374423591
sub-19	4	run-04	0.2481297706553599
sub-19	5	run-05	0.237831321014751
sub-19	6	run-06	0.1861726607127165
sub-19	7	run-07	0.2184441079683485
sub-19	8	run-08	0.1797335001275819
sub-19	9	run-09	0.2056276009924043
sub-20	1	run-01	0.1659467014211969
sub-20	2	run-02	0.1576795663243104
sub-20	3	run-03	0.1604809885988973
sub-20	4	run-04	0.1288299076400385
sub-20	5	run-05	0.1255567600748579
sub-20	6	run-06	0.1595683935804904
sub-20	7	run-07	0.2005931896039104
sub-20	8	run-08	0.1452605439140041
sub-20	9	run-09	0.1515151687021055
sub-21	1	run-01	0.0976444063348173
sub-21	2	run-02	0.0813744381101368
sub-21	3	run-03	0.0769398712800122
sub-21	4	run-04	0.1000050288031647
sub-21	5	run-05	0.0839157931066518
sub-21	6	run-06	0.1095963622986577
sub-21	7	run-07	0.082316005825311
sub-21	8	run-08	0.0906371851352158
sub-21	9	run-09	0.1121359708022557
sub-22	1	run-01	0.1343079721111037
sub-22	2	run-02	0.0990020809668368
sub-22	3	run-03	0.1084298858407806
sub-22	4	run-04	0.1068413103696492
sub-22	5	run-05	0.1325277069656398
sub-22	6	run-06	0.120789611468622
sub-22	7	run-07	0.1246437562580159
sub-22	8	run-08	0.1482945877761159
sub-22	9	run-09	0.2243134331283376
sub-23	1	run-01	0.234478829613893
sub-23	2	run-02	0.1884453622117225
sub-23	3	run-03	0.1565616995530392
sub-23	4	run-04	0.1739393021044962
sub-23	5	run-05	0.183798636727212
sub-23	6	run-06	0.1706303261600874
sub-23	7	run-07	0.1899990675087305
sub-23	8	run-08	0.172887965202418
sub-23	9	run-09	0.1699851939284184
sub-24	1	run-01	0.1123126586666995
sub-24	2	run-02	0.1181523233102367
