subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive	target	family
sub-24	sensory_dACC_MCC	sensory_dACC_MCC	-571.1512642741791	-118.31160887867291	-418.1873163317594	152.96394794241968	-299.8757074530865	-452.83965539550616	-376.3576814242963	salience_dACC_MCC	salience
sub-25	sensory_dACC_MCC	sensory_dACC_MCC	710.6312929394651	10.522695390089618	-39.262244099114056	-749.8935370385791	-49.78493948920367	700.1085975493754	325.1618290300859	salience_dACC_MCC	salience
sub-26	sensory_dACC_MCC	sensory_dACC_MCC	-87.70562239388187	-154.1847309194263	313.7949422146047	401.50056460848657	467.97967313403103	66.47910852554443	267.2293908297877	salience_dACC_MCC	salience
sub-27	sensory_dACC_MCC	sensory_dACC_MCC	-118.29902842912838	-41.9535798794072	140.88490340708202	259.1839318362104	182.83848328648924	-76.34544854972118	53.24651736838402	salience_dACC_MCC	salience
sub-28	sensory_dACC_MCC	sensory_dACC_MCC	316.8431547126225	131.33601264525234	-30.634404290062776	-347.4775590026853	-161.97041693531511	185.5071420673702	11.768362566027548	salience_dACC_MCC	salience
sub-29	sensory_dACC_MCC	sensory_dACC_MCC	195.4042913606173	-40.91105758659964	143.25762677130808	-52.14666458930924	184.1686843579077	236.31534894721696	210.24201665256237	salience_dACC_MCC	salience
sub-30	sensory_dACC_MCC	sensory_dACC_MCC	294.89053888892266	122.68535126521056	354.11169147398715	59.22115258506449	231.4263402087766	172.2051876237121	201.81576391624435	salience_dACC_MCC	salience
sub-31	sensory_dACC_MCC	sensory_dACC_MCC	362.2659925540198	384.57122940706114	388.8304113506332	26.56441879661338	4.25918194357206	-22.30523685304132	-9.023027454734631	salience_dACC_MCC	salience
sub-32	sensory_dACC_MCC	sensory_dACC_MCC	-80.73856085884263	-157.212294062012	157.79215727229706	238.53071813113968	315.00445133430907	76.47373320316937	195.73909226873923	salience_dACC_MCC	salience
sub-33	sensory_dACC_MCC	sensory_dACC_MCC	97.35800870749571	-172.325326639475	-571.2900046253396	-668.6480133328354	-398.9646779858646	269.6833353469707	-64.64067131944694	salience_dACC_MCC	salience
sub-01	expl_hypothalamus	expl_hypothalamus	599.7895396992027	547.0395577753046	68.94665969446729	-530.8428800047354	-478.09289808083736	52.74998192389808	-212.67145807846964	sensory_S1_S2_thalamus	sensory
sub-01	sensory_S1_L	sensory_S1_L	516.3540746399303	-693.2997079423993	80.9936246692881	-435.3604499706422	774.2933326116874	1209.6537825823298	991.9735575970084	sensory_S1_S2_thalamus	sensory
sub-01	sensory_S1_R	sensory_S1_R	954.4374728781522	-259.7886420757632	1085.3102581635385	130.87278528538604	1345.0989002393014	1214.2261149539154	1279.6625075966083	sensory_S1_S2_thalamus	sensory
sub-01	sensory_S2_operculum_L	sensory_S2_operculum_L	446.5441934230228	-184.4678418368569	490.6511484094511	44.10695498642826	675.1189902463079	631.0120352598797	653.0655127530938	sensory_S1_S2_thalamus	sensory
sub-01	sensory_S2_operculum_R	sensory_S2_operculum_R	1456.6373797910974	1281.5675229239394	2592.724142796085	1136.0867630049877	1311.1566198721457	175.06985686715802	743.1132383696518	sensory_S1_S2_thalamus	sensory
sub-01	sensory_thalamus_L	sensory_thalamus_L	-932.8539534046638	-517.9834498573272	-622.894608571941	309.9593448327228	-104.91115871461386	-414.8705035473366	-259.89083113097524	sensory_S1_S2_thalamus	sensory
sub-01	sensory_thalamus_R	sensory_thalamus_R	-600.0191115966435	-203.96078350026352	-503.6730284540881	96.34608314255536	-299.7122449538246	-396.05832809638	-347.88528652510234	sensory_S1_S2_thalamus	sensory
sub-02	expl_hypothalamus	expl_hypothalamus	-192.11378483387813	101.81437659897172	460.7079383966554	652.8217232305335	358.8935617976837	-293.92816143284983	32.48270018241689	sensory_S1_S2_thalamus	sensory
sub-02	sensory_S1_L	sensory_S1_L	-616.1466096331066	-1451.7357213138396	-646.3949898682694	-30.248380235162813	805.3407314455702	835.589111680733	820.4649215631516	sensory_S1_S2_thalamus	sensory
sub-02	sensory_S1_R	sensory_S1_R	-282.46211493545854	-511.3058015599549	780.4599121697396	1062.922027105198	1291.7657137296949	228.8436866244964	760.3047001770955	sensory_S1_S2_thalamus	sensory
sub-02	sensory_S2_operculum_L	sensory_S2_operculum_L	-55.73783243595828	63.84609009782677	772.9776043654344	828.7154368013927	709.1315142676077	-119.58392253378506	294.7737958669113	sensory_S1_S2_thalamus	sensory
