subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive
sub-19	sensory_insula_all_R	sensory_insula_all_R	-1214.1308818423713	1509.235322227358	1086.4648103885434	2300.5956922309147	-422.7705118388146	-2723.366204069729	-1573.068357954272
sub-19	sensory_posterior_insula_L	sensory_posterior_insula_L	2622.035367143873	449.7906022803938	261.22605357379734	-2360.8093135700756	-188.56454870659644	2172.2447648634793	991.8401080784413
sub-19	sensory_posterior_insula_R	sensory_posterior_insula_R	-508.3077958499315	1242.3153405150244	868.3613362827546	1376.6691321326862	-373.9540042322699	-1750.6231363649558	-1062.288570298613
sub-19	sensory_thalamus_L	sensory_thalamus_L	-73.76859462763066	-166.4366983097862	-50.87038772288663	22.89820690474403	115.56631058689958	92.66810368215555	104.11720713452756
sub-19	sensory_thalamus_R	sensory_thalamus_R	246.96969446390054	-121.16690527504197	-40.396045189929666	-287.3657396538302	80.7708600851123	368.1365997389425	224.45372991202743
sub-20	expl_amygdala_L	expl_amygdala_L	-1090.1467048427605	115.57194874566564	625.0552290231462	1715.2019338659068	509.4832802774806	-1205.7186535884262	-348.11768665547277
sub-20	expl_amygdala_R	expl_amygdala_R	-463.9138619940792	-7.726953488043671	83.21840931560806	547.1322713096872	90.94536280365173	-456.18690850603554	-182.6207728511919
sub-20	expl_hippocampus_L	expl_hippocampus_L	875.8175724433277	438.16150362191917	-148.24469241256057	-1024.0622648558883	-586.4061960344798	437.6560688214085	-74.3750636065356
sub-20	expl_hippocampus_R	expl_hippocampus_R	355.1885342401086	166.03407818616924	-177.89018196035676	-533.0787162004654	-343.92426014652597	189.15445605393936	-77.38490204629332
sub-20	expl_hypothalamus	expl_hypothalamus	-58.959773835547864	-155.87645941817726	533.9209387507199	592.8807125862677	689.7973981688972	96.9166855826294	393.35704187576323
sub-20	reg_NAc_L	reg_NAc_L	-2057.9207233867523	-248.81237775784172	458.42444949786767	2516.34517288462	707.2368272557094	-1809.1083456289107	-550.9357591866005
sub-20	reg_NAc_R	reg_NAc_R	-689.5101863651383	-126.13753937666219	408.72645095145083	1098.2366373165892	534.863990328113	-563.3726469884762	-14.254328330181565
sub-20	reg_PAG_sphere	reg_PAG_sphere	-586.4526519971205	-500.82447978053557	-896.8627646116213	-310.4101126145008	-396.0382848310857	-85.62817221658491	-240.83322852383532
sub-20	reg_SMA_preSMA	reg_SMA_preSMA	-1206.5495157790747	-795.3699219212604	-875.068039034194	331.48147674488064	-79.69811711293369	-411.1795938578143	-245.438855485374
sub-20	reg_anterior_insula_L	reg_anterior_insula_L	-922.2019799765123	343.0843969179686	207.34040727976972	1129.5423872562822	-135.74398963819888	-1265.286376894481	-700.5151832663399
sub-20	reg_anterior_insula_R	reg_anterior_insula_R	-156.24852634041628	334.0783581232061	1094.1870414125635	1250.4355677529798	760.1086832893575	-490.3268844636224	134.89089941286755
sub-20	reg_caudate_L	reg_caudate_L	-1775.2155664083148	-704.982520312502	-435.55908029946085	1339.6564861088539	269.4234400130411	-1070.2330460958128	-400.4048030413858
sub-20	reg_caudate_R	reg_caudate_R	-863.5208163067402	-527.202750885789	-126.27386560180022	737.24695070494	400.92888528398873	-336.31806542095126	32.30540993151874
sub-20	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-1253.442435940055	-431.0711291327627	-303.6377840271315	949.8046519129235	127.43334510563119	-822.3713068072923	-347.46898085083063
sub-20	reg_dlPFC_IFJ_R	reg_dlPFC_IFJ_R	-1365.2718334656588	-667.1465159940124	-590.2204251638221	775.0514083018367	76.92609083019022	-698.1253174716464	-310.59961332072817
sub-20	reg_mOFC	reg_mOFC	-321.1314443558754	-104.09178072290317	189.14678182708275	510.2782261829581	293.2385625499859	-217.0396636329722	38.099449458506854
sub-20	reg_pgACC_rACC	reg_pgACC_rACC	193.17825435004647	24.70130358091674	72.18937677006315	-120.98887757998332	47.488073189146405	168.47695076912973	107.98251197913808
sub-20	reg_putamen_L	reg_putamen_L	-1963.6445241241922	-707.0648115436463	-847.2284022575466	1116.4161218666457	-140.16359071390025	-1256.579712580546	-698.371651647223
sub-20	reg_putamen_R	reg_putamen_R	-1712.412902909414	-908.9044949932163	-352.2631789350713	1360.1497239743426	556.641316058145	-803.5084079161977	-123.43354592902642
sub-20	reg_vmPFC	reg_vmPFC	258.2419289534707	193.61155986000026	-93.524938476854	-351.7668674303247	-287.1364983368543	64.63036909347042	-111.25306462169192
sub-20	reg_vmPFC_mOFC	reg_vmPFC_mOFC	-56.677098917356076	31.794584953545407	60.121582860895124	116.7986817782512	28.326997907349718	-88.47168387090149	-30.072342981775883
sub-20	sensory_S1_L	sensory_S1_L	-2119.034031503433	-863.2688457303049	-1278.1914075642544	840.8426239391788	-414.92256183394954	-1255.7651857731285	-835.3438738035389
sub-20	sensory_S1_R	sensory_S1_R	-1922.0279883823155	-676.5458833038768	-975.182669067736	946.8453193145795	-298.63678576385917	-1245.4821050784385	-772.0594454211488
sub-20	sensory_S2_operculum_L	sensory_S2_operculum_L	-497.0077099923659	-144.4166443842081	-863.2161457299638	-366.20843573759794	-718.7995013457557	-352.5910656081578	-535.6952834769568
sub-20	sensory_S2_operculum_R	sensory_S2_operculum_R	-235.61068090662488	415.14623548445263	20.85894537286531	256.46962627949017	-394.2872901115873	-650.7569163910775	-522.5221032513324
sub-20	sensory_dACC_MCC	sensory_dACC_MCC	-451.6929183724209	-407.43134534349883	-403.51015093672476	48.18276743569612	3.9211944067740774	-44.261573028922044	-20.170189311073955
sub-20	sensory_insula_all_L	sensory_insula_all_L	-656.1584656368127	88.12804578354634	387.3973565453276	1043.5558221821402	299.2693107617813	-744.286511420359	-222.50860032928887
sub-20	sensory_insula_all_R	sensory_insula_all_R	-144.52719039207085	367.5925716289766	439.870706494855	584.3978968869259	72.27813486587843	-512.1197620210474	-219.9208135775845
sub-20	sensory_posterior_insula_L	sensory_posterior_insula_L	-425.20088712951565	-68.64801703466766	244.4664445958646	669.6673317253802	313.1144616305323	-356.552870094848	-21.719204232157864
sub-20	sensory_posterior_insula_R	sensory_posterior_insula_R	-296.95043512740295	312.8310221556002	-178.14722622663558	118.80320890076737	-490.97824838223573	-609.7814572830032	-550.3798528326195
sub-20	sensory_thalamus_L	sensory_thalamus_L	-792.6255684719656	-402.59330665599265	-495.06223451397875	297.56333395798686	-92.4689278579861	-390.03226181597296	-241.2505948369796
sub-20	sensory_thalamus_R	sensory_thalamus_R	-537.3799618462932	-170.69680382988793	-212.17325475261435	325.20670709367886	-41.47645092272643	-366.6831580164053	-204.07980446956583
sub-21	expl_amygdala_L	expl_amygdala_L	816.689506773846	103.04738641216363	1159.6019390251972	342.9124322513512	1056.5545526130336	713.6421203616824	885.098336487358
sub-21	expl_amygdala_R	expl_amygdala_R	599.7665658331491	-77.24021976613237	889.7207850635183	289.9542192303692	966.9610048296506	677.0067855992814	821.9838952144661
sub-21	expl_hippocampus_L	expl_hippocampus_L	-795.6217681114238	-308.22787221434794	409.31886646571155	1204.9406345771354	717.5467386800594	-487.3938958970758	115.07642139149183
sub-21	expl_hippocampus_R	expl_hippocampus_R	-55.47746165243668	-140.17793161665614	474.77687791964246	530.2543395720792	614.9548095362986	84.70046996421945	349.82763975025904
sub-21	expl_hypothalamus	expl_hypothalamus	-371.0413444082169	117.99826846122842	381.3146630882416	752.3560074964585	263.3163946270132	-489.0396128694453	-112.86160912121606
sub-21	reg_NAc_L	reg_NAc_L	0.2805657151502601	-233.92108795379653	-1034.9241962426893	-1035.2047619578395	-801.0031082888927	234.2016536689468	-283.400727309973
sub-21	reg_NAc_R	reg_NAc_R	391.2389377296778	-97.56114498631185	401.90608759417046	10.667149864492671	499.4672325804823	488.8000827159896	494.13365764823595
sub-21	reg_PAG_sphere	reg_PAG_sphere	-1382.3828810542875	481.512057920801	-486.9210451999973	895.4618358542903	-968.4331031207983	-1863.8949389750885	-1416.1640210479434
sub-21	reg_SMA_preSMA	reg_SMA_preSMA	-202.2065418342062	-5.195266816279349	-110.47259206817614	91.73394976603007	-105.2773252518968	-197.01127501792686	-151.14430013491182
