subject	pathway	source_roi	target_roi	source_safe	target_safe	quantity	ec_beta	target_pathway	target_family
sub-17	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.0457841134894818	NAc_to_vmPFC_value	value_regulation
sub-17	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.0734068551809737	NAc_to_vmPFC_value	value_regulation
sub-17	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.2440350040560947	NAc_to_vmPFC_value	value_regulation
sub-17	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.1892793253850999	NAc_to_vmPFC_value	value_regulation
sub-18	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.0199987429184482	NAc_to_vmPFC_value	value_regulation
sub-18	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.1954180411661674	NAc_to_vmPFC_value	value_regulation
sub-18	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.1390785695704667	NAc_to_vmPFC_value	value_regulation
sub-18	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.0036638376723941	NAc_to_vmPFC_value	value_regulation
sub-18	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.0169318182677104	NAc_to_vmPFC_value	value_regulation
sub-18	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.0202669633264356	NAc_to_vmPFC_value	value_regulation
sub-19	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.1550766842139778	NAc_to_vmPFC_value	value_regulation
sub-19	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.2033467683720057	NAc_to_vmPFC_value	value_regulation
sub-19	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.1233032379610932	NAc_to_vmPFC_value	value_regulation
sub-19	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.2108015284770419	NAc_to_vmPFC_value	value_regulation
sub-19	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.2378752278466376	NAc_to_vmPFC_value	value_regulation
sub-19	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.2484346152650042	NAc_to_vmPFC_value	value_regulation
sub-20	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.0803651921292367	NAc_to_vmPFC_value	value_regulation
sub-20	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.0876663230490859	NAc_to_vmPFC_value	value_regulation
sub-20	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.1027113070522006	NAc_to_vmPFC_value	value_regulation
sub-20	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.0225845083697543	NAc_to_vmPFC_value	value_regulation
sub-20	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.1010122807200672	NAc_to_vmPFC_value	value_regulation
sub-20	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.0764064532099666	NAc_to_vmPFC_value	value_regulation
sub-21	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.2809093602635545	NAc_to_vmPFC_value	value_regulation
sub-21	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.2150215449774559	NAc_to_vmPFC_value	value_regulation
sub-21	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.3179847464008788	NAc_to_vmPFC_value	value_regulation
sub-21	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.0735578537526959	NAc_to_vmPFC_value	value_regulation
sub-21	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.1419248315156956	NAc_to_vmPFC_value	value_regulation
sub-21	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.1605463007925561	NAc_to_vmPFC_value	value_regulation
sub-22	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.0534861186268977	NAc_to_vmPFC_value	value_regulation
sub-22	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0193391212826923	NAc_to_vmPFC_value	value_regulation
sub-22	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.0245716654996667	NAc_to_vmPFC_value	value_regulation
sub-22	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.0972578454835975	NAc_to_vmPFC_value	value_regulation
sub-22	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.0128326567519974	NAc_to_vmPFC_value	value_regulation
sub-22	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.0679881329574903	NAc_to_vmPFC_value	value_regulation
sub-23	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.1953265091258229	NAc_to_vmPFC_value	value_regulation
sub-23	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0962325946442583	NAc_to_vmPFC_value	value_regulation
sub-23	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.1727541583244285	NAc_to_vmPFC_value	value_regulation
sub-23	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.0588845840189426	NAc_to_vmPFC_value	value_regulation
sub-23	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.0261679871063592	NAc_to_vmPFC_value	value_regulation
sub-23	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.0500420799264457	NAc_to_vmPFC_value	value_regulation
sub-24	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.0628163357273749	NAc_to_vmPFC_value	value_regulation
