subject	modality	target	family	quantity	score
sub-20	ROI_activity	control_SMA_preSMA	control	beta_passive	-795.3699219212604
sub-20	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-431.0711291327627
sub-20	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-667.1465159940124
sub-20	ROI_activity	descending_PAG	descending	beta_passive	-500.8244797805356
sub-20	ROI_activity	descending_pgACC_rACC	descending	beta_passive	24.70130358091674
sub-20	ROI_activity	salience_aINS	salience	beta_passive	338.58137752058735
sub-20	ROI_activity	salience_dACC_MCC	salience	beta_passive	-407.4313453434988
sub-20	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-285.46452969114216
sub-20	ROI_activity	value_NAc	value	beta_passive	-187.47495856725195
sub-20	ROI_activity	value_vmPFC_mOFC	value	beta_passive	40.43812136354749
sub-21	ROI_activity	control_SMA_preSMA	control	beta_passive	-5.195266816279349
sub-21	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	146.74141622674844
sub-21	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	8.199115104468115
sub-21	ROI_activity	descending_PAG	descending	beta_passive	481.512057920801
sub-21	ROI_activity	descending_pgACC_rACC	descending	beta_passive	301.6203284305197
sub-21	ROI_activity	salience_aINS	salience	beta_passive	555.4673531752817
sub-21	ROI_activity	salience_dACC_MCC	salience	beta_passive	173.67435267403425
sub-21	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	62.92198569385989
sub-21	ROI_activity	value_NAc	value	beta_passive	-165.74111647005418
sub-21	ROI_activity	value_vmPFC_mOFC	value	beta_passive	125.62039151861455
sub-22	ROI_activity	control_SMA_preSMA	control	beta_passive	-469.1350057542648
sub-22	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-352.61959888476304
sub-22	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	21.138384723395024
sub-22	ROI_activity	descending_PAG	descending	beta_passive	-1405.080777738487
sub-22	ROI_activity	descending_pgACC_rACC	descending	beta_passive	-191.5643949629588
sub-22	ROI_activity	salience_aINS	salience	beta_passive	828.3607830736418
sub-22	ROI_activity	salience_dACC_MCC	salience	beta_passive	-318.1834671877552
sub-22	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-569.0211629379257
sub-22	ROI_activity	value_NAc	value	beta_passive	-69.23214487502413
sub-22	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-253.41399261076705
sub-23	ROI_activity	control_SMA_preSMA	control	beta_passive	-26.220428475376234
sub-23	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-98.02372530669332
sub-23	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-426.6268935018739
sub-23	ROI_activity	descending_PAG	descending	beta_passive	139.11610962332446
sub-23	ROI_activity	descending_pgACC_rACC	descending	beta_passive	251.3970227790702
sub-23	ROI_activity	salience_aINS	salience	beta_passive	375.2507349008004
sub-23	ROI_activity	salience_dACC_MCC	salience	beta_passive	-30.28305063562241
sub-23	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	168.99796740707205
sub-23	ROI_activity	value_NAc	value	beta_passive	352.4898533062299
sub-23	ROI_activity	value_vmPFC_mOFC	value	beta_passive	356.59947669042526
sub-24	ROI_activity	control_SMA_preSMA	control	beta_passive	-140.91125498968134
sub-24	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-414.0245044869946
sub-24	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-240.8582606855821
sub-24	ROI_activity	descending_PAG	descending	beta_passive	-547.6599702368309
sub-24	ROI_activity	descending_pgACC_rACC	descending	beta_passive	-19.173582533774667
sub-24	ROI_activity	salience_aINS	salience	beta_passive	761.3475263512047
sub-24	ROI_activity	salience_dACC_MCC	salience	beta_passive	-118.31160887867291
sub-24	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-65.20705202200654
sub-24	ROI_activity	value_NAc	value	beta_passive	235.95659659864788
sub-24	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-126.69542067869297
sub-25	ROI_activity	control_SMA_preSMA	control	beta_passive	-157.13533609398954
sub-25	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-4.800373561642624
sub-25	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	18.13949552349306
sub-25	ROI_activity	descending_PAG	descending	beta_passive	-196.51872782973967
sub-25	ROI_activity	descending_pgACC_rACC	descending	beta_passive	303.93521485018607
sub-25	ROI_activity	salience_aINS	salience	beta_passive	882.6179109404183
sub-25	ROI_activity	salience_dACC_MCC	salience	beta_passive	10.522695390089618
sub-25	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	436.5752248978215
sub-25	ROI_activity	value_NAc	value	beta_passive	51.11933743539802
sub-25	ROI_activity	value_vmPFC_mOFC	value	beta_passive	441.8067461389853
sub-26	ROI_activity	control_SMA_preSMA	control	beta_passive	-54.7005208552541
sub-26	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-229.74583937793088
sub-26	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-204.8056176822369
sub-26	ROI_activity	descending_PAG	descending	beta_passive	-118.97867137730503
sub-26	ROI_activity	descending_pgACC_rACC	descending	beta_passive	30.091698867265876
sub-26	ROI_activity	salience_aINS	salience	beta_passive	-123.90329662386301
sub-26	ROI_activity	salience_dACC_MCC	salience	beta_passive	-154.1847309194263
sub-26	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	128.55583749752586
sub-26	ROI_activity	value_NAc	value	beta_passive	13.75184249600228
sub-26	ROI_activity	value_vmPFC_mOFC	value	beta_passive	169.37776216032725
sub-27	ROI_activity	control_SMA_preSMA	control	beta_passive	-105.85519766919056
sub-27	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-89.89819539247868
sub-27	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-26.05492995171174
sub-27	ROI_activity	descending_PAG	descending	beta_passive	619.5492974860754
sub-27	ROI_activity	descending_pgACC_rACC	descending	beta_passive	70.31920159946769
sub-27	ROI_activity	salience_aINS	salience	beta_passive	547.4448959187597
sub-27	ROI_activity	salience_dACC_MCC	salience	beta_passive	-41.9535798794072
sub-27	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-34.47161415347681
sub-27	ROI_activity	value_NAc	value	beta_passive	-7.528563253639298
sub-27	ROI_activity	value_vmPFC_mOFC	value	beta_passive	161.78360844875695
sub-28	ROI_activity	control_SMA_preSMA	control	beta_passive	-36.59238331384386
sub-28	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	5.638813151779468
sub-28	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	14.869383204239726
sub-28	ROI_activity	descending_PAG	descending	beta_passive	768.101421274402
sub-28	ROI_activity	descending_pgACC_rACC	descending	beta_passive	182.0527073304568
sub-28	ROI_activity	salience_aINS	salience	beta_passive	384.2012709508168
sub-28	ROI_activity	salience_dACC_MCC	salience	beta_passive	131.33601264525234
sub-28	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	200.44540185796126
sub-28	ROI_activity	value_NAc	value	beta_passive	118.71582454082092
sub-28	ROI_activity	value_vmPFC_mOFC	value	beta_passive	74.62495282294617
sub-29	ROI_activity	control_SMA_preSMA	control	beta_passive	-593.9178354795051
sub-29	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-141.2970642830498
sub-29	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-278.3079879879558
sub-29	ROI_activity	descending_PAG	descending	beta_passive	-90.7789303128808
sub-29	ROI_activity	descending_pgACC_rACC	descending	beta_passive	288.5327608172776
sub-29	ROI_activity	salience_aINS	salience	beta_passive	-191.09861261347578
sub-29	ROI_activity	salience_dACC_MCC	salience	beta_passive	-40.91105758659964
sub-29	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-8.066625373984213
sub-29	ROI_activity	value_NAc	value	beta_passive	-71.32311404862996
sub-29	ROI_activity	value_vmPFC_mOFC	value	beta_passive	682.8064915426011
sub-30	ROI_activity	control_SMA_preSMA	control	beta_passive	131.96829612078793
sub-30	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-40.81193861277636
sub-30	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	250.2310875576549
sub-30	ROI_activity	descending_PAG	descending	beta_passive	601.8693421236046
sub-30	ROI_activity	descending_pgACC_rACC	descending	beta_passive	3.8304749137741783
sub-30	ROI_activity	salience_aINS	salience	beta_passive	1322.0432222726135
sub-30	ROI_activity	salience_dACC_MCC	salience	beta_passive	122.68535126521056
sub-30	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	180.75383093410258
sub-30	ROI_activity	value_NAc	value	beta_passive	70.12699077853125
sub-30	ROI_activity	value_vmPFC_mOFC	value	beta_passive	179.2379441246194
sub-31	ROI_activity	control_SMA_preSMA	control	beta_passive	381.7608332422803
sub-31	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-383.7919207052684
sub-31	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-544.8226903444396
sub-31	ROI_activity	descending_PAG	descending	beta_passive	435.26838375706814
sub-31	ROI_activity	descending_pgACC_rACC	descending	beta_passive	122.1911007128561
sub-31	ROI_activity	salience_aINS	salience	beta_passive	929.3691780139463
sub-31	ROI_activity	salience_dACC_MCC	salience	beta_passive	384.57122940706114
sub-31	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	279.20501494639905
sub-31	ROI_activity	value_NAc	value	beta_passive	396.76599697940526
sub-31	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-58.748320886261546
sub-32	ROI_activity	control_SMA_preSMA	control	beta_passive	-246.85980401629732
sub-32	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	280.9261211990392
sub-32	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-327.3191138832898
sub-32	ROI_activity	descending_PAG	descending	beta_passive	476.6143466366896
sub-32	ROI_activity	descending_pgACC_rACC	descending	beta_passive	130.65885106402143
sub-32	ROI_activity	salience_aINS	salience	beta_passive	299.3517726287939
sub-32	ROI_activity	salience_dACC_MCC	salience	beta_passive	-157.212294062012
sub-32	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-21.522529912003375
sub-32	ROI_activity	value_NAc	value	beta_passive	111.41709916115833
sub-32	ROI_activity	value_vmPFC_mOFC	value	beta_passive	358.0772394670269
