subject	run	run_label	status	n_trials	n_rois_extracted	out_file	bold	events_file
sub-06	1	run-01	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-06_run-01_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-06/func/sub-06_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-06/run-01/events_stim.tsv
sub-06	2	run-02	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-06_run-02_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-06/func/sub-06_task-heatpainwithregulationandratings_run-02_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-06/run-02/events_stim.tsv
sub-06	3	run-03	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-06_run-03_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-06/func/sub-06_task-heatpainwithregulationandratings_run-03_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-06/run-03/events_stim.tsv
sub-06	4	run-04	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-06_run-04_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-06/func/sub-06_task-heatpainwithregulationandratings_run-04_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-06/run-04/events_stim.tsv
sub-06	5	run-05	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-06_run-05_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-06/func/sub-06_task-heatpainwithregulationandratings_run-05_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-06/run-05/events_stim.tsv
sub-06	6	run-06	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-06_run-06_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-06/func/sub-06_task-heatpainwithregulationandratings_run-06_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-06/run-06/events_stim.tsv
sub-06	7	run-07	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-06_run-07_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-06/func/sub-06_task-heatpainwithregulationandratings_run-07_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-06/run-07/events_stim.tsv
sub-06	9	run-09	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-06_run-09_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-06/func/sub-06_task-heatpainwithregulationandratings_run-09_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-06/run-09/events_stim.tsv
sub-07	1	run-01	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-01_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-01/events_stim.tsv
sub-07	2	run-02	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-02_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-02_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-02/events_stim.tsv
sub-07	3	run-03	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-03_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-03_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-03/events_stim.tsv
sub-07	4	run-04	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-04_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-04_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-04/events_stim.tsv
sub-07	5	run-05	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-05_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-05_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-05/events_stim.tsv
sub-07	6	run-06	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-06_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-06_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-06/events_stim.tsv
sub-07	7	run-07	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-07_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-07_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-07/events_stim.tsv
sub-07	8	run-08	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-08_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-08_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-08/events_stim.tsv
sub-07	9	run-09	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-07_run-09_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-07/func/sub-07_task-heatpainwithregulationandratings_run-09_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-07/run-09/events_stim.tsv
sub-08	1	run-01	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-08_run-01_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-08/func/sub-08_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-08/run-01/events_stim.tsv
sub-08	2	run-02	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-08_run-02_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-08/func/sub-08_task-heatpainwithregulationandratings_run-02_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-08/run-02/events_stim.tsv
sub-08	3	run-03	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-08_run-03_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-08/func/sub-08_task-heatpainwithregulationandratings_run-03_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-08/run-03/events_stim.tsv
sub-08	4	run-04	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-08_run-04_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-08/func/sub-08_task-heatpainwithregulationandratings_run-04_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-08/run-04/events_stim.tsv
sub-08	5	run-05	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-08_run-05_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-08/func/sub-08_task-heatpainwithregulationandratings_run-05_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-08/run-05/events_stim.tsv
sub-08	6	run-06	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-08_run-06_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-08/func/sub-08_task-heatpainwithregulationandratings_run-06_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-08/run-06/events_stim.tsv
sub-08	7	run-07	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-08_run-07_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-08/func/sub-08_task-heatpainwithregulationandratings_run-07_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-08/run-07/events_stim.tsv
