confound_strategy	confounds_include_cosine	confounds_n_acompcor	confounds_spike_mode	confounds_fd_spike_threshold	confounds_include_nonsteady	confounds_fd_spikes_used_n	confounds_fmriprep_spikes_available_n	confounds_fmriprep_spikes_used_n	confounds_nonsteady_used_n	confounds_n_cols	confounds_rank	estimated_dof_after_confounds	estimated_dof_after_confounds_basic_task	pre_glm_flag	pre_glm_decision	subject	run
standard	False	5	fd05	0.5	True	9	15	0	0	40	40	168	164	OK	READY	sub-07	4
standard	False	5	fd05	0.5	True	30	49	0	0	61	61	147	143	OK	READY	sub-07	5
standard	False	5	fd05	0.5	True	30	68	0	0	61	61	147	143	OK	READY	sub-07	6
standard	False	5	fd05	0.5	True	16	26	0	0	47	47	143	139	OK	READY	sub-07	7
standard	False	5	fd05	0.5	True	16	55	0	0	47	47	161	157	OK	READY	sub-07	8
standard	False	5	fd05	0.5	True	17	39	0	0	48	48	160	156	OK	READY	sub-07	9
standard	False	5	fd05	0.5	True	0	29	0	0	31	31	177	173	OK	READY	sub-08	1
standard	False	5	fd05	0.5	True	0	4	0	0	31	31	177	173	OK	READY	sub-08	2
standard	False	5	fd05	0.5	True	0	51	0	0	31	31	159	155	OK	READY	sub-08	3
standard	False	5	fd05	0.5	True	0	2	0	0	31	31	177	173	OK	READY	sub-08	4
standard	False	5	fd05	0.5	True	0	6	0	0	31	31	177	173	OK	READY	sub-08	5
standard	False	5	fd05	0.5	True	0	96	0	0	31	31	177	173	OK	READY	sub-08	6
standard	False	5	fd05	0.5	True	0	5	0	0	31	31	159	155	OK	READY	sub-08	7
standard	False	5	fd05	0.5	True	2	36	0	0	33	33	175	171	OK	READY	sub-08	8
standard	False	5	fd05	0.5	True	1	8	0	0	32	32	176	172	OK	READY	sub-08	9
standard	False	5	fd05	0.5	True	1	69	0	0	32	32	176	172	OK	READY	sub-09	1
standard	False	5	fd05	0.5	True	0	69	0	0	31	31	177	173	OK	READY	sub-09	2
standard	False	5	fd05	0.5	True	3	21	0	0	34	34	156	152	OK	READY	sub-09	3
standard	False	5	fd05	0.5	True	7	33	0	0	38	38	170	166	OK	READY	sub-09	4
standard	False	5	fd05	0.5	True	7	52	0	0	38	38	170	166	OK	READY	sub-09	5
standard	False	5	fd05	0.5	True	13	80	0	0	44	44	164	160	OK	READY	sub-09	6
standard	False	5	fd05	0.5	True	13	58	0	0	44	44	146	142	OK	READY	sub-09	7
standard	False	5	fd05	0.5	True	17	56	0	0	48	48	160	156	OK	READY	sub-09	8
standard	False	5	fd05	0.5	True	6	47	0	0	37	37	171	167	OK	READY	sub-09	9
standard	False	5	fd05	0.5	True	27	40	0	0	58	58	150	146	OK	READY	sub-10	1
standard	False	5	fd05	0.5	True	23	29	0	0	54	54	136	132	OK	READY	sub-10	3
standard	False	5	fd05	0.5	True	43	55	0	0	74	74	134	130	OK	READY	sub-10	4
standard	False	5	fd05	0.5	True	32	51	0	0	63	63	127	123	OK	READY	sub-10	7
standard	False	5	fd05	0.5	True	11	73	0	0	42	42	166	162	OK	READY	sub-10	8
standard	False	5	fd05	0.5	True	20	38	0	0	51	51	157	153	OK	READY	sub-10	9
standard	False	5	fd05	0.5	True	0	52	0	0	31	31	177	173	OK	READY	sub-11	1
standard	False	5	fd05	0.5	True	1	137	0	0	32	32	176	172	OK	READY	sub-11	2
standard	False	5	fd05	0.5	True	2	64	0	0	33	33	157	153	OK	READY	sub-11	3
standard	False	5	fd05	0.5	True	10	77	0	0	41	41	167	163	OK	READY	sub-11	4
standard	False	5	fd05	0.5	True	14	71	0	0	45	45	163	159	OK	READY	sub-11	5
standard	False	5	fd05	0.5	True	7	75	0	0	38	38	170	166	OK	READY	sub-11	6
standard	False	5	fd05	0.5	True	2	10	0	1	34	34	156	152	OK	READY	sub-11	7
standard	False	5	fd05	0.5	True	0	54	0	0	31	31	177	173	OK	READY	sub-11	8
standard	False	5	fd05	0.5	True	0	35	0	0	31	31	177	173	OK	READY	sub-11	9
standard	False	5	fd05	0.5	True	8	39	0	0	39	39	169	165	OK	READY	sub-12	1
standard	False	5	fd05	0.5	True	2	40	0	0	33	33	175	171	OK	READY	sub-12	2
standard	False	5	fd05	0.5	True	0	17	0	0	31	31	159	155	OK	READY	sub-12	3
standard	False	5	fd05	0.5	True	14	47	0	0	45	45	163	159	OK	READY	sub-12	4
standard	False	5	fd05	0.5	True	13	30	0	0	44	44	164	160	OK	READY	sub-12	5
standard	False	5	fd05	0.5	True	8	59	0	0	39	39	169	165	OK	READY	sub-12	6
standard	False	5	fd05	0.5	True	17	27	0	0	48	48	142	138	OK	READY	sub-12	7
standard	False	5	fd05	0.5	True	25	37	0	0	56	56	152	148	OK	READY	sub-12	8
standard	False	5	fd05	0.5	True	0	113	0	0	31	31	177	173	OK	READY	sub-12	9
standard	False	5	fd05	0.5	True	4	81	0	0	35	35	173	169	OK	READY	sub-13	1
standard	False	5	fd05	0.5	True	4	92	0	0	35	35	173	169	OK	READY	sub-13	2
standard	False	5	fd05	0.5	True	1	50	0	0	32	32	158	154	OK	READY	sub-13	3
standard	False	5	fd05	0.5	True	2	57	0	0	33	33	175	171	OK	READY	sub-13	4
standard	False	5	fd05	0.5	True	7	38	0	0	38	38	170	166	OK	READY	sub-13	5
