model	term	beta	se	t_or_z	p	n	r2	formula	note	q_fdr
trim_rating_boundary_success_z	C(subject)[T.sub-30]	-0.19534894301020111	0.020612727217832857	-9.477103196766572	2.6143998873440828e-21	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	9.74458139828249e-21
trim_rating_boundary_success_z	C(subject)[T.sub-31]	0.5599414146440038	0.008320469578405055	67.29685258357	0.0	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.0
trim_rating_boundary_success_z	C(subject)[T.sub-32]	-0.029763690333074917	0.00820886517641675	-3.6257984134741337	0.00028807001799066237	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.0005868755646020948
trim_rating_boundary_success_z	C(subject)[T.sub-33]	-0.029391046771303275	0.026349775098915736	-1.1154192649072243	0.2646707978039621	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.32316151914599917
trim_rating_boundary_success_z	is_up_bin	0.2407040659836959	0.08475163384405547	2.840111217520546	0.0045097807699561	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.007785305750240004
trim_rating_boundary_success_z	expected_z_c	-0.3078886419205332	0.19628612710406818	-1.5685705681955553	0.11674803484080211	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.1501700212854239
trim_rating_boundary_success_z	is_up_bin:expected_z_c	-0.25400780938207695	0.1006792912599121	-2.5229399830232646	0.011637826150928685	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.01947554580359494
trim_rating_boundary_success_z	temp_z_c	0.273087750917971	0.12006093848877238	2.274576180691017	0.02293136634002832	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.035147140932379854
trim_rating_boundary_success_z	trial_c_c	-0.03575319811626022	0.010044155066976439	-3.5596023635488225	0.00037141674220710893	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.000752004268172418
trim_rating_boundary_success_z	run_c_c	-0.033567344331458186	0.0164899710748125	-2.0356217836385664	0.04178834865617907	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.05940552268642499
trim_rating_boundary_success_z	global_trial_z_c	-0.014164362488551886	0.006425903068561796	-2.2042602164122065	0.02750604909178027	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.04125701125468502
trim_rating_boundary_success_z	up_first_c	0.07948696011897388	0.0740006553769769	1.0741385966657786	0.2827605679950521	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.3384871032933471
trim_expected_boundary_success_z	Intercept	0.5981423196929347	0.0473798940961997	12.624391233937166	1.5493496043834654e-36	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	6.775822269837023e-36
trim_expected_boundary_success_z	C(subject)[T.sub-02]	-0.16697391238962236	0.005871444248083618	-28.438303309125523	6.799424717658722e-178	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	6.372032306834459e-177
trim_expected_boundary_success_z	C(subject)[T.sub-03]	-0.2575795117198374	0.004729601756866515	-54.461141753822965	0.0	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0
trim_expected_boundary_success_z	C(subject)[T.sub-04]	0.030220331360916588	0.010723228837747664	2.818211922749953	0.004829192422646646	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.008293063427372252
trim_expected_boundary_success_z	C(subject)[T.sub-05]	-0.7598346319376168	0.046274694307859576	-16.420089712155306	1.3736348842040497e-60	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	6.931572954137358e-60
trim_expected_boundary_success_z	C(subject)[T.sub-06]	-0.8229812093116543	0.009037076879007604	-91.06719134185666	0.0	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0
trim_expected_boundary_success_z	C(subject)[T.sub-07]	-0.6046082655411936	0.03319211020743366	-18.215421127572252	3.894098023645515e-74	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	2.093875658615949e-73
trim_expected_boundary_success_z	C(subject)[T.sub-08]	-0.5632110230896129	0.005079637705504238	-110.87621908139704	0.0	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0
